bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Kasun Rajitha,4,0,47,0,11.75,7,5,3,0,0,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,scorecard
Dushmantha Chameera,8,0,54,0,6.75,25,8,1,2,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,scorecard
Dhananjaya de Silva,3,0,20,0,6.66,8,3,0,0,0,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,scorecard
Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,scorecard
Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,https://www.espncricinfo.com/cricketers/marco-jansen-696401,scorecard
Kagiso Rabada,10,1,48,1,4.80,33,6,0,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Keshav Maharaj,10,0,30,1,3.00,32,0,0,1,0,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,scorecard
Tabraiz Shamsi,10,0,72,1,7.20,22,5,1,7,1,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,scorecard
Aiden Markram,2,0,17,0,8.50,4,1,1,1,0,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Jasprit Bumrah,5,0,14,0,2.80,23,2,0,1,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Mohammed Shami,4,0,18,2,4.50,16,2,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235,scorecard
David Willey,10,1,48,1,4.80,31,4,0,1,0,https://www.espncricinfo.com/cricketers/david-willey-308251,scorecard
Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
Mark Wood,10,0,70,2,7.00,27,9,0,3,0,https://www.espncricinfo.com/cricketers/mark-wood-351588,scorecard
Liam Livingstone,6,0,42,1,7.00,10,2,1,0,0,https://www.espncricinfo.com/cricketers/liam-livingstone-403902,scorecard
Moeen Ali,4,0,28,0,7.00,9,4,0,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Adil Rashid,10,0,38,2,3.80,34,1,1,0,0,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Mitchell Starc,10,0,66,2,6.60,29,7,1,4,0,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Pat Cummins,10,1,49,2,4.90,32,5,1,0,0,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Adam Zampa,10,0,21,3,2.10,41,0,0,2,0,https://www.espncricinfo.com/cricketers/adam-zampa-379504,scorecard
Travis Head,5,0,28,0,5.60,12,0,2,0,0,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
Marcus Stoinis,4,0,34,1,8.50,8,4,1,0,0,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,scorecard
Shaheen Shah Afridi,10,0,90,0,9.00,24,11,2,5,0,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,scorecard
Hasan Ali,10,0,82,1,8.20,26,10,2,2,1,https://www.espncricinfo.com/cricketers/hasan-ali-681305,scorecard
Iftikhar Ahmed,8,0,55,1,6.87,20,8,0,0,0,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,scorecard
Haris Rauf,10,0,85,1,8.50,24,11,2,2,0,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,scorecard
Mohammad Wasim,10,0,60,3,6.00,28,4,1,3,0,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,scorecard
Salman Agha,2,0,21,0,10.50,3,2,1,1,0,https://www.espncricinfo.com/cricketers/salman-agha-623977,scorecard
Trent Boult,6,0,50,0,8.33,20,7,2,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Tim Southee,5,0,27,1,5.40,17,1,2,0,0,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Mitchell Santner,5,0,35,0,7.00,13,1,3,0,0,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Glenn Phillips,5,1,42,0,8.40,13,3,3,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Ish Sodhi,4,0,44,0,11.00,6,3,3,1,0,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,scorecard
Daryl Mitchell,0.3,0,1,0,2.00,2,0,0,0,0,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,scorecard
Mujeeb Ur Rahman,10,0,40,1,4.00,40,4,0,3,0,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,scorecard
Fazalhaq Farooqi,5,0,36,0,7.20,20,8,0,2,0,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,scorecard
Azmatullah Omarzai,3,0,11,0,3.66,10,1,0,0,0,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,scorecard
Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Rashid Khan,10,0,31,0,3.10,35,0,0,3,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,9,0,31,2,3.44,36,3,0,3,0,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,scorecard
Logan van Beek,7,0,30,1,4.28,26,3,0,2,0,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,scorecard
Paul van Meekeren,5,0,35,0,7.00,15,6,0,1,1,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,scorecard
Roelof van der Merwe,5,0,27,1,5.40,11,2,0,0,0,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,scorecard
Saqib Zulfiqar,3,0,25,1,8.33,8,4,0,0,1,https://www.espncricinfo.com/cricketers/saqib-zulfiqar-526481,scorecard
Colin Ackermann,3,0,12,0,4.00,8,0,0,1,0,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,scorecard
Dilshan Madushanka,10,0,80,5,8.00,25,8,2,6,0,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,scorecard
Dushmantha Chameera,10,2,71,1,7.10,28,8,2,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Kasun Rajitha,9,0,65,0,7.22,25,7,2,1,0,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594,scorecard
Angelo Mathews,3,0,11,0,3.66,10,1,0,0,0,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,scorecard
Maheesh Theekshana,10,0,67,0,6.70,18,5,1,1,0,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
Dushan Hemantha,8,0,52,0,6.50,17,2,2,0,1,https://www.espncricinfo.com/cricketers/dushan-hemantha-721041,scorecard
Jasprit Bumrah,5,1,8,1,1.60,26,0,0,3,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Mohammed Siraj,7,2,16,3,2.28,35,2,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Mohammed Shami,5,1,18,5,3.60,22,3,0,0,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Kuldeep Yadav,2,0,3,0,1.50,9,0,0,0,0,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235,scorecard
Ravindra Jadeja,0.4,0,4,1,6.00,3,1,0,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Trent Boult,10,1,49,1,4.90,35,5,1,2,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,https://www.espncricinfo.com/cricketers/matt-henry-506612,scorecard
Tim Southee,10,0,77,2,7.70,19,6,3,1,0,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Mitchell Santner,10,0,58,0,5.80,18,2,1,2,0,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Glenn Phillips,7,0,52,0,7.42,15,2,3,2,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Rachin Ravindra,2,0,17,0,8.50,6,2,1,0,0,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,https://www.espncricinfo.com/cricketers/james-neesham-355269,scorecard
Marco Jansen,8,1,31,3,3.87,29,3,0,1,1,https://www.espncricinfo.com/cricketers/marco-jansen-696401,scorecard
Lungi Ngidi,6,1,28,0,4.66,23,4,0,0,0,https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,scorecard
Kagiso Rabada,6,2,16,1,2.66,27,2,0,0,0,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Gerald Coetzee,6.3,0,41,2,6.30,24,5,1,1,0,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,scorecard
Keshav Maharaj,9,0,46,4,5.11,32,3,3,0,0,https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,scorecard
Shaheen Shah Afridi,9,1,23,3,2.55,40,2,0,2,0,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,scorecard
Iftikhar Ahmed,10,0,44,1,4.40,32,5,0,0,0,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,scorecard
Haris Rauf,8,0,36,2,4.50,28,3,0,2,0,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,scorecard
Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,scorecard
