batsmanName,runs,balls,minutes,4s,6s,SR,player_link,match_id
Tabraiz Shamsi,1,5,11,0,0,20.00,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,scorecard
Travis Head,62,48,62,9,2,129.16,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
David Warner,29,18,29,1,4,161.11,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Mitchell Marsh,0,6,5,0,0,0.00,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Steven Smith,30,62,102,2,0,48.38,https://www.espncricinfo.com/cricketers/steven-smith-267192,scorecard
Marnus Labuschagne,18,31,28,2,0,58.06,https://www.espncricinfo.com/cricketers/marnus-labuschagne-787987,scorecard
Glenn Maxwell,1,5,8,0,0,20.00,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Josh Inglis †,28,49,66,3,0,57.14,https://www.espncricinfo.com/cricketers/josh-inglis-662235,scorecard
Mitchell Starc,16,38,61,2,0,42.10,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,scorecard
Pat Cummins (c),14,29,32,2,0,48.27,https://www.espncricinfo.com/cricketers/pat-cummins-489889,scorecard
Rohit Sharma (c),47,29,40,4,4,162.06,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Shubman Gill,80,66,116,8,3,121.21,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Virat Kohli,117,113,149,9,2,103.53,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Shreyas Iyer,105,70,114,4,8,150.00,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
KL Rahul †,39,20,29,5,2,195.00,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Suryakumar Yadav,1,2,2,0,0,50.00,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Devon Conway,13,15,26,3,0,86.66,https://www.espncricinfo.com/cricketers/devon-conway-379140,scorecard
Rachin Ravindra,13,22,39,3,0,59.09,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
Kane Williamson (c),69,73,116,8,1,94.52,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
Daryl Mitchell,134,119,180,9,7,112.60,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,scorecard
Tom Latham †,0,2,1,0,0,0.00,https://www.espncricinfo.com/cricketers/tom-latham-388802,scorecard
Glenn Phillips,41,33,58,4,2,124.24,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Mark Chapman,2,5,5,0,0,40.00,https://www.espncricinfo.com/cricketers/mark-chapman-438563,scorecard
Mitchell Santner,9,10,20,0,0,90.00,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,scorecard
Tim Southee,9,10,14,1,0,90.00,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Trent Boult,2,2,5,0,0,100.00,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
Lockie Ferguson,6,3,2,0,1,200.00,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,scorecard
Rohit Sharma (c),61,54,74,8,2,112.96,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,scorecard
Shubman Gill,51,32,49,3,4,159.37,https://www.espncricinfo.com/cricketers/shubman-gill-1070173,scorecard
Virat Kohli,51,56,69,5,1,91.07,https://www.espncricinfo.com/cricketers/virat-kohli-253802,scorecard
Shreyas Iyer,128,94,145,10,5,136.17,https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,scorecard
KL Rahul †,102,64,98,11,4,159.37,https://www.espncricinfo.com/cricketers/kl-rahul-422108,scorecard
Suryakumar Yadav,2,1,1,0,0,200.00,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,scorecard
Wesley Barresi,4,5,8,0,0,80.00,https://www.espncricinfo.com/cricketers/wesley-barresi-44407,scorecard
Max O'Dowd,30,42,68,3,1,71.42,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,scorecard
Colin Ackermann,35,32,46,6,0,109.37,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,scorecard
Sybrand Engelbrecht,45,80,87,4,0,56.25,https://www.espncricinfo.com/cricketers/sybrand-engelbrecht-315035,scorecard
Scott Edwards (c)†,17,30,27,1,0,56.66,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,scorecard
Bas de Leede,12,21,23,1,0,57.14,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,scorecard
Teja Nidamanuru,54,39,65,1,6,138.46,https://www.espncricinfo.com/cricketers/teja-nidamanuru-1129328,scorecard
Logan van Beek,16,15,20,2,0,106.66,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,scorecard
Roelof van der Merwe,16,8,5,1,2,200.00,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,scorecard
Aryan Dutt,5,11,9,0,0,45.45,https://www.espncricinfo.com/cricketers/aryan-dutt-1195672,scorecard
Paul van Meekeren,3,4,7,0,0,75.00,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,scorecard
Dawid Malan,31,39,61,5,0,79.48,https://www.espncricinfo.com/cricketers/dawid-malan-236489,scorecard
Jonny Bairstow,59,61,81,7,1,96.72,https://www.espncricinfo.com/cricketers/jonny-bairstow-297433,scorecard
Joe Root,60,72,115,4,0,83.33,https://www.espncricinfo.com/cricketers/joe-root-303669,scorecard
Ben Stokes,84,76,85,11,2,110.52,https://www.espncricinfo.com/cricketers/ben-stokes-311158,scorecard
Jos Buttler (c)†,27,18,39,3,1,150.00,https://www.espncricinfo.com/cricketers/jos-buttler-308967,scorecard
Harry Brook,30,17,24,2,2,176.47,https://www.espncricinfo.com/cricketers/harry-brook-911707,scorecard
Moeen Ali,8,6,10,0,1,133.33,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Chris Woakes,4,4,19,1,0,100.00,https://www.espncricinfo.com/cricketers/chris-woakes-247235,scorecard
David Willey,15,5,5,2,1,300.00,https://www.espncricinfo.com/cricketers/david-willey-308251,scorecard
Gus Atkinson,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/gus-atkinson-1039481,scorecard
Adil Rashid,0,1,1,0,0,0.00,https://www.espncricinfo.com/cricketers/adil-rashid-244497,scorecard
Abdullah Shafique,0,2,2,0,0,0.00,https://www.espncricinfo.com/cricketers/abdullah-shafique-922941,scorecard
Fakhar Zaman,1,9,13,0,0,11.11,https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,scorecard
Babar Azam (c),38,45,58,6,0,84.44,https://www.espncricinfo.com/cricketers/babar-azam-348144,scorecard
Mohammad Rizwan †,36,51,78,2,0,70.58,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,scorecard
Saud Shakeel,29,37,52,4,0,78.37,https://www.espncricinfo.com/cricketers/saud-shakeel-652687,scorecard
Salman Agha,51,45,53,6,1,113.33,https://www.espncricinfo.com/cricketers/salman-agha-623977,scorecard
Iftikhar Ahmed,3,5,8,0,0,60.00,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,scorecard
Shadab Khan,4,7,4,1,0,57.14,https://www.espncricinfo.com/cricketers/shadab-khan-922943,scorecard
Shaheen Shah Afridi,25,23,23,3,1,108.69,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,scorecard
Mohammad Wasim,16,14,33,2,1,114.28,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,scorecard
Haris Rauf,35,23,27,3,3,152.17,https://www.espncricinfo.com/cricketers/haris-rauf-1161606,scorecard
Tanzid Hasan,36,34,55,6,0,105.88,https://www.espncricinfo.com/cricketers/tanzid-hasan-990023,scorecard
Litton Das,36,45,76,5,0,80.00,https://www.espncricinfo.com/cricketers/litton-das-536936,scorecard
Najmul Hossain Shanto (c),45,57,59,6,0,78.94,https://www.espncricinfo.com/cricketers/najmul-hossain-shanto-629058,scorecard
Towhid Hridoy,74,79,121,5,2,93.67,https://www.espncricinfo.com/cricketers/towhid-hridoy-990031,scorecard
Mahmudullah,32,28,34,1,3,114.28,https://www.espncricinfo.com/cricketers/mahmudullah-56025,scorecard
Mushfiqur Rahim †,21,24,27,0,1,87.50,https://www.espncricinfo.com/cricketers/mushfiqur-rahim-56029,scorecard
Mehidy Hasan Miraz,29,20,33,4,0,145.00,https://www.espncricinfo.com/cricketers/mehidy-hasan-miraz-629063,scorecard
Nasum Ahmed,7,11,15,0,0,63.63,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,scorecard
Mahedi Hasan,2,3,4,0,0,66.66,https://www.espncricinfo.com/cricketers/mahedi-hasan-833087,scorecard
Taskin Ahmed,0,1,2,0,0,0.00,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,scorecard
Travis Head,10,11,11,2,0,90.90,https://www.espncricinfo.com/cricketers/travis-head-530011,scorecard
David Warner,53,61,90,6,0,86.88,https://www.espncricinfo.com/cricketers/david-warner-219889,scorecard
Mitchell Marsh,177,132,177,17,9,134.09,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,scorecard
Steven Smith,63,64,99,4,1,98.43,https://www.espncricinfo.com/cricketers/steven-smith-267192,scorecard
Rahmanullah Gurbaz,25,22,45,3,1,113.63,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,scorecard
Ibrahim Zadran,15,30,52,3,0,50.00,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509,scorecard
Rahmat Shah,26,46,58,2,0,56.52,https://www.espncricinfo.com/cricketers/rahmat-shah-533956,scorecard
Hashmatullah Shahidi (c),2,7,5,0,0,28.57,https://www.espncricinfo.com/cricketers/hashmatullah-shahidi-440970,scorecard
Azmatullah Omarzai,97,107,173,7,3,90.65,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429,scorecard
Ikram Alikhil †,12,14,16,1,1,85.71,https://www.espncricinfo.com/cricketers/ikram-alikhil-935553,scorecard
Mohammad Nabi,2,3,7,0,0,66.66,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913,scorecard
Rashid Khan,14,30,42,0,0,46.66,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Noor Ahmad,26,32,36,4,0,81.25,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,scorecard
Mujeeb Ur Rahman,8,5,7,0,1,160.00,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,scorecard
Naveen-ul-Haq,2,4,12,0,0,50.00,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,scorecard
Quinton de Kock †,41,47,58,2,3,87.23,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143,scorecard
Temba Bavuma (c),23,28,49,3,0,82.14,https://www.espncricinfo.com/cricketers/temba-bavuma-372116,scorecard
Rassie van der Dussen,76,95,141,6,1,80.00,https://www.espncricinfo.com/cricketers/rassie-van-der-dussen-337790,scorecard
Aiden Markram,25,32,32,1,1,78.12,https://www.espncricinfo.com/cricketers/aiden-markram-600498,scorecard
Heinrich Klaasen,10,13,15,1,0,76.92,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757,scorecard
David Miller,24,33,35,1,1,72.72,https://www.espncricinfo.com/cricketers/david-miller-321777,scorecard
Andile Phehlukwayo,39,37,46,1,3,105.40,https://www.espncricinfo.com/cricketers/andile-phehlukwayo-540316,scorecard
Pathum Nissanka,2,8,9,0,0,25.00,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,scorecard
Kusal Perera,51,28,46,9,2,182.14,https://www.espncricinfo.com/cricketers/kusal-perera-300631,scorecard
Kusal Mendis (c)†,6,7,11,1,0,85.71,https://www.espncricinfo.com/cricketers/kusal-mendis-629074,scorecard
Sadeera Samarawickrama,1,2,2,0,0,50.00,https://www.espncricinfo.com/cricketers/sadeera-samarawickrama-629076,scorecard
Charith Asalanka,8,8,16,1,0,100.00,https://www.espncricinfo.com/cricketers/charith-asalanka-784367,scorecard
Angelo Mathews,16,27,33,2,0,59.25,https://www.espncricinfo.com/cricketers/angelo-mathews-49764,scorecard
Dhananjaya de Silva,19,24,36,2,1,79.16,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,scorecard
Chamika Karunaratne,6,17,28,1,0,35.29,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,scorecard
Maheesh Theekshana,38,91,109,3,0,41.75,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,scorecard
Dushmantha Chameera,1,20,32,0,0,5.00,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,scorecard
Dilshan Madushanka,19,48,56,2,0,39.58,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007,scorecard
Devon Conway,45,42,54,9,0,107.14,https://www.espncricinfo.com/cricketers/devon-conway-379140,scorecard
Rachin Ravindra,42,34,61,3,3,123.52,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,scorecard
Kane Williamson (c),14,15,26,2,0,93.33,https://www.espncricinfo.com/cricketers/kane-williamson-277906,scorecard
