bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Shahbaz Ahmed,3,0,29,1,9.66,4,1,2,0,0,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Harshal Patel,4,0,27,0,6.75,10,0,2,0,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Yuzvendra Chahal,4,0,29,3,7.25,9,2,1,2,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Dan Christian,1,0,11,0,11.00,1,2,0,0,0,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Akash Singh,4,0,39,0,9.75,7,5,1,0,0,https://www.espncricinfo.com/cricketers/akash-singh-1175458,scorecard
Chetan Sakariya,4,0,31,1,7.75,10,4,0,2,0,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754,scorecard
Mustafizur Rahman,4,0,51,0,12.75,4,3,4,1,0,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Rahul Tewatia,4,0,39,3,9.75,5,2,2,2,0,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Mayank Markande,3,0,26,0,8.66,4,2,1,0,0,https://www.espncricinfo.com/cricketers/mayank-markande-1081442,scorecard
Glenn Phillips,1,0,3,0,3.00,3,0,0,0,0,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,scorecard
Sam Curran,4,0,55,0,13.75,4,5,3,2,1,https://www.espncricinfo.com/cricketers/sam-curran-662973,scorecard
Josh Hazlewood,4,0,54,0,13.50,8,7,3,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Shardul Thakur,4,0,30,2,7.50,11,3,1,2,0,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
KM Asif,2.1,0,18,1,8.30,2,1,0,0,1,https://www.espncricinfo.com/cricketers/km-asif-1083030,scorecard
Moeen Ali,2.2,0,23,0,9.85,4,1,2,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Ravindra Jadeja,1,0,9,0,9.00,3,0,1,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Anrich Nortje,4,1,19,1,4.75,15,3,0,0,0,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,scorecard
Avesh Khan,4,0,15,3,3.75,16,2,0,1,0,https://www.espncricinfo.com/cricketers/avesh-khan-694211,scorecard
Ravichandran Ashwin,4,0,41,1,10.25,6,2,3,2,0,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421,scorecard
Kagiso Rabada,4,0,33,0,8.25,9,1,2,1,1,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,scorecard
Axar Patel,4,0,21,3,5.25,8,1,0,1,0,https://www.espncricinfo.com/cricketers/axar-patel-554691,scorecard
Trent Boult,4,0,24,1,6.00,7,1,0,1,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
