Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
KV Morea,https://www.espncricinfo.com/cricketers/kabua-morea-524255,2021-2021,3,3,2,15,6*,15.00,107.14,-,-,-
EJG Morgan,https://www.espncricinfo.com/cricketers/eoin-morgan-24598,2021-2021,6,4,2,68,40,34.00,119.29,-,-,-
Mujeeb Ur Rahman,https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,2021-2021,3,1,1,-,0*,0.00,0.00,-,-,-
HG Munsey,https://www.espncricinfo.com/cricketers/george-munsey-671805,2021-2021,8,8,-,152,29,19.00,109.35,-,-,1
Mushfiqur Rahim,https://www.espncricinfo.com/cricketers/mushfiqur-rahim-56029,2021-2021,8,8,1,144,57*,20.57,113.38,-,1,1
Mustafizur Rahman,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,2021-2021,7,3,-,6,4,2.00,46.15,-,-,1
SJ Myburgh,https://www.espncricinfo.com/cricketers/stephan-myburgh-233712,2021-2021,2,2,-,22,17,11.00,104.76,-,-,-
Najibullah Zadran,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,2021-2021,5,5,-,172,73,34.40,135.43,-,2,-
Naseem Khushi,https://www.espncricinfo.com/cricketers/naseem-khushi-1077310,2021-2021,3,2,-,6,4,3.00,60.00,-,-,-
Nasum Ahmed,https://www.espncricinfo.com/cricketers/nasum-ahmed-348049,2021-2021,3,2,1,19,19*,19.00,190.00,-,-,1
Naveen-ul-Haq,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,2021-2021,5,-,-,-,-,0.00,0.00,-,-,-
JDS Neesham,https://www.espncricinfo.com/cricketers/james-neesham-355269,2021-2021,7,5,3,86,35*,43.00,175.51,-,-,-
P Nissanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,2021-2021,8,8,-,221,72,27.62,117.55,-,3,1
A Nortje,https://www.espncricinfo.com/cricketers/anrich-nortje-481979,2021-2021,5,1,-,2,2,2.00,66.66,-,-,-
Nurul Hasan,https://www.espncricinfo.com/cricketers/nurul-hasan-410765,2021-2021,5,4,-,21,16,5.25,80.76,-,-,1
KJ O'Brien,https://www.espncricinfo.com/cricketers/kevin-o-brien-24605,2021-2021,3,3,-,39,25,13.00,105.40,-,-,-
MP O'Dowd,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,2021-2021,3,3,-,123,70,41.00,116.03,-,2,-
HH Pandya,https://www.espncricinfo.com/cricketers/hardik-pandya-625371,2021-2021,5,3,1,69,35*,34.50,153.33,-,-,-
