bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Hayden Walsh,2.0,0,18,0,9.0,3,1,1,0,0,scorecard,2,8.83,0.0,0.0,0.0,0.0,25.0,20.83
Hayden Walsh,3.0,0,26,0,8.66,3,0,1,2,0,scorecard,2,8.83,0.0,0.0,0.0,0.0,16.67,20.83
Imad Wasim,4.0,0,24,1,6.0,11,2,1,0,0,scorecard,6,5.69,24.0,18.0,24.0,16.5,45.83,48.38
Imad Wasim,3.0,0,13,1,4.33,11,2,0,0,0,scorecard,6,5.69,18.0,18.0,13.0,16.5,61.11,48.38
Imad Wasim,4.0,0,17,0,4.25,12,1,0,2,0,scorecard,6,5.69,0.0,18.0,0.0,16.5,50.0,48.38
Imad Wasim,2.0,0,10,0,5.0,5,1,0,0,0,scorecard,6,5.69,0.0,18.0,0.0,16.5,41.67,48.38
Imad Wasim,3.0,0,25,0,8.33,6,2,1,0,0,scorecard,6,5.69,0.0,18.0,0.0,16.5,33.33,48.38
Imad Wasim,4.0,0,25,2,6.25,14,1,2,1,0,scorecard,6,5.69,12.0,18.0,12.5,16.5,58.33,48.38
Ish Sodhi,4.0,0,17,2,4.25,9,0,0,1,0,scorecard,7,8.13,12.0,15.0,8.5,18.42,37.5,32.14
Ish Sodhi,4.0,0,42,2,10.5,7,2,3,1,0,scorecard,7,8.13,12.0,15.0,21.0,18.42,29.17,32.14
Ish Sodhi,4.0,0,28,2,7.0,10,2,1,2,0,scorecard,7,8.13,12.0,15.0,14.0,18.42,41.67,32.14
Ish Sodhi,2.0,0,13,1,6.5,3,1,0,1,0,scorecard,7,8.13,12.0,15.0,13.0,18.42,25.0,32.14
Ish Sodhi,3.0,0,40,0,13.33,3,3,2,3,0,scorecard,7,8.13,0.0,15.0,0.0,18.42,16.67,32.14
Ish Sodhi,3.0,0,22,1,7.33,9,0,2,2,0,scorecard,7,8.13,18.0,15.0,22.0,18.42,50.0,32.14
