Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Ahmad Fayyaz Butt,"August 17, 1993, Sialkot, Punjab",31y 82d,Right hand Bat,Right arm Medium fast,Bowler,Oman
Binura Fernando,"July 12, 1995, Colombo",29y 118d,Right hand Bat,Left arm Medium fast,Bowler,Sri Lanka
Weerahandige Inol Avishka Fernando,"April 05, 1998, Wadduwa",26y 216d,Right hand Bat,Right arm Medium fast,Opening Batter,Sri Lanka
Aaron James Finch,"November 17, 1986, Colac, Victoria",37y 356d,Right hand Bat,Slow Left arm Orthodox,Top order Batter,Australia
Jan Nicolaas Frylinck,"April 06, 1994, Bellville, Western Cape",30y 215d,Left hand Bat,Left arm Fast medium,Allrounder,Namibia
Christopher Henry Gayle,"September 21, 1979, Kingston, Jamaica",45y 47d,Left hand Bat,Right arm Offbreak,Allrounder,West Indies
Brandon Dale Glover,"April 03, 1997, Johannesburg, Gauteng, South Africa",27y 218d,Right hand Bat,Right arm Fast,Bowler,Netherlands
Christopher Nicholas Greaves,"October 12, 1990",34y 26d,Right hand Bat,Legbreak,Bowler,Scotland
Zane Edward Green,"October 11, 1996, Namibia",28y 27d,Left hand Bat,,Wicketkeeper Batter,Namibia
Gulbadin Naib,"June 04, 1991, Logar, Afghanistan",33y 156d,Right hand Bat,Right arm Medium fast,Batting Allrounder,Afghanistan
Martin James Guptill,"September 30, 1986, Auckland",38y 38d,Right hand Bat,Right arm Offbreak,Opening Batter,New Zealand
Hamid Hassan,"June 01, 1987, Nangarhar",37y 159d,Right hand Bat,Right arm Fast,Bowler,Afghanistan
Hamza Tahir,"November 09, 1995, Paisley, Renfrewshire",28y 364d,Right hand Bat,Slow Left arm Orthodox,Bowler,Scotland
Haris Rauf,"November 07, 1993",31y,Right hand Bat,Right arm Fast,Bowler,Pakistan
Hasan Ali,"July 02, 1994, Gujranwala, Punjab",30y 128d,Right hand Bat,Right arm Medium fast,Bowler,Pakistan
Josh Reginald Hazlewood,"January 08, 1991, Tamworth, New South Wales",33y 304d,Left hand Bat,Right arm Fast medium,Bowler,Australia
Hazratullah Zazai,"March 23, 1998, Paktia",26y 229d,Left hand Bat,Slow Left arm Orthodox,Opening Batter,Afghanistan
Reeza Raphael Hendricks,"August 14, 1989, Kimberley, Cape Province",35y 85d,Right hand Bat,Right arm Offbreak,Opening Batter,South Africa
Shimron Odilon Hetmyer,"December 26, 1996, Cumberland, Berbice, Guyana",27y 317d,Left hand Bat,,Middle order Batter,West Indies
Hiri Hiri,"May 01, 1995",29y 190d,Right hand Bat,Right arm Offbreak,Middle order Batter,Papua New Guinea
Jason Omar Holder,"November 05, 1991, Barbados",33y 2d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,West Indies
Akeal Jerome Hosein,"April 25, 1993, Port-of-Spain",31y 196d,Left hand Bat,Slow Left arm Orthodox,Bowler,West Indies
Syed Imad Wasim,"December 18, 1988, Swansea, Glamorgan, Wales",35y 325d,Left hand Bat,Slow Left arm Orthodox,Allrounder,Pakistan
Ishan Pranav Kumar Pandey Kishan,"July 18, 1998, Patna, Bihar",26y 112d,Left hand Bat,Legbreak,Wicketkeeper Batter,India
Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",35y 337d,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Jatinder Singh,"March 05, 1989, Ludhiana, Punjab",35y 247d,Right hand Bat,Right arm Offbreak,Batter,Oman
Christopher James Jordan,"October 04, 1988, Barbados",36y 34d,Right hand Bat,Right arm Fast medium,Bowler,England
Kaleemullah,"December 24, 1990, Gujranwala, Pakistan",33y 319d,Right hand Bat,Right arm Medium,Bowler,Oman
Karim Janat,"August 11, 1998, Kabul",26y 88d,Right hand Bat,Right arm Medium,Bowling Allrounder,Afghanistan
Chamika Karunaratne,"May 29, 1996, Colombo",28y 162d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,Sri Lanka
Khawar Ali,"December 20, 1985, Pakistan",38y 323d,Right hand Bat,Legbreak,Opening Batter,Oman
Heinrich Klaasen,"July 30, 1991, Pretoria, Transvaal",33y 100d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,South Africa
Frederick Jack Klaassen,"November 13, 1992, Haywards Heath, Sussex",31y 360d,Right hand Bat,Left arm Fast medium,Bowler,Netherlands
Virat Kohli,"November 05, 1988, Delhi",36y 2d,Right hand Bat,Right arm Medium,Top order Batter,India
Bhuvneshwar Kumar Singh,"February 05, 1990, Meerut, Uttar Pradesh",34y 276d,Right hand Bat,Right arm Medium,Bowler,India
Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,"February 13, 1997, Kandy",27y 268d,Left hand Bat,Right arm Fast,Bowler,Sri Lanka
Michael Alexander Leask,"October 29, 1990, Aberdeen",34y 9d,Right hand Bat,Right arm Offbreak,Allrounder,Scotland
Evin Lewis,"December 27, 1991, Port of Spain, Trinidad",32y 316d,Left hand Bat,,Opening Batter,West Indies
Litton Kumer Das,"October 13, 1994, Dinajpur",30y 25d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Bangladesh
Joshua Brian Little,"November 01, 1999, Dublin",25y 6d,Right hand Bat,Left arm Fast medium,Bowler,Ireland
Liam Stephen Livingstone,"August 04, 1993, Barrow-in-Furness, Cumberland",31y 95d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,England
Jan Nicol Loftie-Eaton,"March 15, 2001",23y 237d,Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder,Namibia
Obed  Christopher McCoy,"January 04, 1997",27y 308d,Left hand Bat,Left arm Fast medium,Bowler,West Indies
Calum Scott MacLeod,"November 15, 1988, Glasgow, Lanarkshire",35y 358d,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,Scotland
Keshav Athmanand Maharaj,"February 07, 1990, Durban, Natal",34y 274d,Right hand Bat,Slow Left arm Orthodox,Bowler,South Africa
Mahedi Hasan,"December 12, 1994, Khulna",29y 331d,Right hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Mohammad Mahmudullah,"February 04, 1986, Mymensingh",38y 277d,Right hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Dawid Johannes Malan,"September 03, 1987, Roehampton, England",37y 65d,Left hand Bat,Legbreak,Top order Batter,England
Aiden Kyle Markram,"October 04, 1994, Centurion",30y 34d,Right hand Bat,Right arm Offbreak,Opening Batter,South Africa
Mitchell Marsh,"October 20, 1991, Attadale, Perth",33y 18d,Right hand Bat,Right arm Medium,Allrounder,Australia
Glenn James Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",36y 24d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia
David Andrew Miller,"June 10, 1989, Pietermaritzburg, Natal",35y 150d,Left hand Bat,Right arm Offbreak,Middle order Batter,South Africa
Tymal Solomon Mills,"August 12, 1992, Dewsbury, Yorkshire",32y 87d,Right hand Bat,Left arm Fast,Bowler,England
Adam Fraser Milne,"April 13, 1992, Palmerston North",32y 208d,Right hand Bat,Right arm Fast,Bowler,New Zealand
Daryl Joseph Mitchell,"May 20, 1991, Hamilton",33y 171d,Right hand Bat,Right arm Medium,Batting Allrounder,New Zealand
Mohammad Hafeez,"October 17, 1980, Sargodha, Punjab",44y 21d,Right hand Bat,Right arm Offbreak,Allrounder,Pakistan
Mohammad Nabi,"January 01, 1985, Loger, Afghanistan",39y 311d,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan
Mohammad Nadeem,"September 04, 1982, Sialkot, Pakistan",42y 64d,Right hand Bat,Right arm Medium fast,Allrounder,Oman
Mohammad Naim Sheikh,"August 22, 1999, Dhaka South",25y 77d,Left hand Bat,,Opening Batter,Bangladesh
Mohammad Rizwan,"June 01, 1992, Peshawar, Khyber Pakhtunkhwa",32y 159d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Pakistan
Mohammad Saifuddin,"November 01, 1996, Feni, Chittagong",28y 6d,Left hand Bat,Right arm Medium fast,Bowling Allrounder,Bangladesh
Mohammad Shahzad Mohammadi,"January 10, 1987, Nangarhar, Afghanistan",37y 302d,Right hand Bat,,Wicketkeeper Batter,Afghanistan
Mohammed Shami Ahmed,"September 03, 1990, Amroha, Uttar Pradesh",34y 65d,Right hand Bat,Right arm Fast,Bowler,India
