bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,inningbowled,avg_bowling_economy,bowling SR,avg_bowling_strike,bowling_avg,average_bowling_avg,dot_ball_percentage,average_dot_ball_%
Bhuvneshwar Kumar,4.0,0,33,1,8.25,10,5,0,3,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,24.0,18.29,33.0,22.38,41.67,38.89
Bhuvneshwar Kumar,4.0,0,28,1,7.0,11,3,1,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,24.0,18.29,28.0,22.38,45.83,38.89
Bhuvneshwar Kumar,4.0,0,36,0,9.0,8,4,1,0,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,33.33,38.89
Bhuvneshwar Kumar,4.0,0,60,0,15.0,5,9,2,4,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,20.83,38.89
Bhuvneshwar Kumar,2.0,0,25,0,12.5,5,2,2,1,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,16,9.69,0.0,18.29,0.0,22.38,41.67,38.89
Cameron Green,3.0,0,27,2,9.0,5,1,1,3,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,9.0,15.86,13.5,18.57,27.78,32.3
Cameron Green,2.0,0,19,0,9.5,3,1,1,1,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,25.0,32.3
Cameron Green,4.0,0,35,2,8.75,9,6,0,2,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,12.0,15.86,17.5,18.57,37.5,32.3
Cameron Green,2.0,0,18,1,9.0,3,2,0,1,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,12.0,15.86,18.0,18.57,25.0,32.3
Cameron Green,4.0,0,28,1,7.0,9,1,2,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,24.0,15.86,28.0,18.57,37.5,32.3
Cameron Green,4.0,0,19,1,4.75,12,1,0,2,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,24.0,15.86,19.0,18.57,50.0,32.3
Cameron Green,1.0,0,7,0,7.0,2,1,0,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,33.33,32.3
Cameron Green,3.1,0,27,0,8.52,5,1,1,1,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,26.88,32.3
Cameron Green,2.0,0,25,0,12.5,3,2,2,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,25.0,32.3
Cameron Green,4.0,0,28,1,7.0,11,3,1,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,24.0,15.86,28.0,18.57,45.83,32.3
Cameron Green,3.0,0,42,0,14.0,2,5,2,1,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,11.11,32.3
Cameron Green,2.0,0,12,2,6.0,7,2,0,1,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,6.0,15.86,6.0,18.57,58.33,32.3
Cameron Green,1.0,0,16,0,16.0,1,2,1,0,0,https://www.espncricinfo.com/cricketers/cameron-green-1076713,13,9.16,0.0,15.86,0.0,18.57,16.67,32.3
Darshan Nalkande,0.5,0,6,1,7.2,3,1,0,1,0,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917,3,8.9,3.0,4.5,6.0,8.25,100.0,44.44
Darshan Nalkande,2.0,0,21,2,10.5,2,0,2,0,0,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917,3,8.9,6.0,4.5,10.5,8.25,16.67,44.44
Darshan Nalkande,2.0,0,18,0,9.0,2,0,1,1,0,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917,3,8.9,0.0,4.5,0.0,8.25,16.67,44.44
Daryl Mitchell,4.0,0,52,0,13.0,2,4,3,1,0,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2,11.0,0.0,12.0,0.0,18.0,8.33,12.5
Daryl Mitchell,2.0,0,18,1,9.0,2,2,0,1,0,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743,2,11.0,12.0,12.0,18.0,18.0,16.67,12.5
Deepak Chahar,3.0,0,22,0,7.33,5,3,0,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,0.0,16.65,0.0,23.5,27.78,48.41
Deepak Chahar,3.1,0,32,1,10.1,9,2,3,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,18.6,16.65,32.0,23.5,48.39,48.41
Deepak Chahar,3.0,0,26,0,8.66,8,2,2,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,0.0,16.65,0.0,23.5,44.44,48.41
Deepak Chahar,4.0,0,37,1,9.25,10,7,0,2,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,24.0,16.65,37.0,23.5,41.67,48.41
Deepak Chahar,4.0,0,28,2,7.0,11,2,1,3,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,12.0,16.65,14.0,23.5,45.83,48.41
Deepak Chahar,2.0,0,11,1,5.5,7,2,0,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,12.0,16.65,11.0,23.5,58.33,48.41
Deepak Chahar,4.0,0,42,0,10.5,9,3,3,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,0.0,16.65,0.0,23.5,37.5,48.41
Deepak Chahar,0.2,0,4,0,12.0,1,1,0,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,8,8.79,0.0,16.65,0.0,23.5,83.33,48.41
Deepak Hooda,2.0,0,13,0,6.5,3,1,0,0,0,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,2,7.75,0.0,0.0,0.0,0.0,25.0,20.83
Deepak Hooda,1.0,0,9,0,9.0,1,1,0,1,0,https://www.espncricinfo.com/cricketers/deepak-hooda-497121,2,7.75,0.0,0.0,0.0,0.0,16.67,20.83
