batsmanName,runs,balls,minutes,4s,6s,SR,inning_batted,Average_SR,boundaries,boundary_runs,boundary_percentage,Average_Boundary_Percentage,total_runs,batting_average
Jasprit Bumrah,0,1,1,0,0,0.0,1,0.0,0,0,,,0,0.0
Jofra Archer,21,15,17,1,2,140.0,2,95.0,3,16,76.19047619047619,38.095238095238095,22,11.0
Jofra Archer,1,2,4,0,0,50.0,2,95.0,0,0,0.0,38.095238095238095,22,11.0
John Kariko,4,7,10,1,0,57.14,2,28.57,1,4,100.0,100.0,4,2.0
John Kariko,0,2,2,0,0,0.0,2,28.57,0,0,,100.0,4,2.0
Johnson Charles,15,14,-,2,0,107.14,6,80.485,2,8,53.333333333333336,62.32075961574126,140,23.333333333333332
Johnson Charles,38,34,55,4,1,111.76,6,80.485,5,22,57.89473684210527,62.32075961574126,140,23.333333333333332
Johnson Charles,0,5,3,0,0,0.0,6,80.485,0,0,,62.32075961574126,140,23.333333333333332
Johnson Charles,0,1,6,0,0,0.0,6,80.485,0,0,,62.32075961574126,140,23.333333333333332
Johnson Charles,44,42,53,4,2,104.76,6,80.485,6,28,63.63636363636363,62.32075961574126,140,23.333333333333332
Johnson Charles,43,27,43,8,0,159.25,6,80.485,8,32,74.4186046511628,62.32075961574126,140,23.333333333333332
Jonny Bairstow,31,18,27,3,2,172.22,6,148.44500000000002,5,24,77.41935483870968,53.817204301075265,110,18.333333333333332
Jonny Bairstow,0,3,2,0,0,0.0,6,148.44500000000002,0,0,,53.817204301075265,110,18.333333333333332
Jonny Bairstow,8,2,6,2,0,400.0,6,148.44500000000002,2,8,100.0,53.817204301075265,110,18.333333333333332
Jonny Bairstow,48,26,32,5,2,184.61,6,148.44500000000002,7,32,66.66666666666666,53.817204301075265,110,18.333333333333332
Jonny Bairstow,16,20,20,1,0,80.0,6,148.44500000000002,1,4,25.0,53.817204301075265,110,18.333333333333332
Jonny Bairstow,7,13,17,0,0,53.84,6,148.44500000000002,0,0,0.0,53.817204301075265,110,18.333333333333332
Jos Buttler (c)†,23,15,13,4,0,153.33,7,145.76857142857142,4,16,69.56521739130434,62.07830738371828,214,30.571428571428573
Jos Buttler (c)†,24,8,17,4,1,300.0,7,145.76857142857142,5,22,91.66666666666666,62.07830738371828,214,30.571428571428573
