bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1,scorecard
Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0,scorecard
Tim Southee,4,1,12,1,3.00,18,0,1,1,0,scorecard
Trent Boult,4,0,13,4,3.25,18,1,0,1,0,scorecard
Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,scorecard
Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,scorecard
Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0,scorecard
Shaheen Shah Afridi,4,0,29,0,7.25,9,3,0,0,0,scorecard
Naseem Shah,4,0,34,0,8.50,7,4,0,2,0,scorecard
Mohammad Wasim,4,0,24,4,6.00,16,2,1,4,0,scorecard
Haris Rauf,4,1,12,1,3.00,15,0,0,0,0,scorecard
Shadab Khan,4,0,23,3,5.75,8,1,0,0,0,scorecard
Richard Ngarava,4,0,24,0,6.00,15,2,1,2,0,scorecard
Blessing Muzarabani,4,0,18,1,4.50,11,1,0,0,0,scorecard
Brad Evans,4,0,25,2,6.25,12,2,1,0,0,scorecard
Sikandar Raza,4,0,25,3,6.25,13,2,1,2,0,scorecard
Luke Jongwe,1,0,10,1,10.00,2,2,0,0,0,scorecard
Sean Williams,2,0,15,0,7.50,1,0,0,1,0,scorecard
Ryan Burl,1,0,7,0,7.00,0,0,0,0,0,scorecard
Fred Klaassen,4,0,33,1,8.25,9,2,1,2,0,scorecard
Tim Pringle,4,0,30,0,7.50,6,3,0,0,0,scorecard
Paul van Meekeren,4,0,32,1,8.00,9,3,1,0,0,scorecard
Bas de Leede,3,0,33,0,11.00,6,5,1,1,0,scorecard
Logan van Beek,4,0,45,0,11.25,3,2,3,0,0,scorecard
Shariz Ahmad,1,0,5,0,5.00,2,0,0,0,0,scorecard
Bhuvneshwar Kumar,3,2,9,2,3.00,14,1,0,0,0,scorecard
Arshdeep Singh,4,0,37,2,9.25,9,6,0,1,1,scorecard
Mohammed Shami,4,0,27,1,6.75,10,2,0,0,0,scorecard
Axar Patel,4,0,18,2,4.50,11,0,0,0,0,scorecard
Hardik Pandya,1,0,9,0,9.00,1,0,0,1,0,scorecard
Ravichandran Ashwin,4,0,21,2,5.25,13,1,1,1,0,scorecard
Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,scorecard
Mehidy Hasan Miraz,3,0,32,0,10.66,4,2,2,0,0,scorecard
Hasan Mahmud,4,0,36,1,9.00,11,3,2,2,0,scorecard
Mustafizur Rahman,4,0,25,0,6.25,7,1,1,0,0,scorecard
Mosaddek Hossain,2,0,16,0,8.00,5,1,1,0,0,scorecard
Shakib Al Hasan,3,0,33,2,11.00,7,1,3,0,1,scorecard
Afif Hossain,1,0,11,1,11.00,1,2,0,0,0,scorecard
Kagiso Rabada,3,0,24,1,8.00,8,1,2,1,0,scorecard
Wayne Parnell,2,0,18,0,9.00,3,0,1,1,0,scorecard
Anrich Nortje,3.3,0,10,4,2.85,16,1,0,0,0,scorecard
Keshav Maharaj,4,0,24,1,6.00,6,1,0,0,0,scorecard
Tabraiz Shamsi,4,0,20,3,5.00,12,0,1,2,0,scorecard
Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,scorecard
Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,scorecard
Mark Wood,4,0,34,3,8.50,13,4,1,2,0,scorecard
